"","subjectID","Age","Duration..in.seconds.","Gender","Ethnicity","Eth.ori","Edu","DoPLSum","dominanceSum","prestigeSum","leadershipSum","UMSSum","UMSIntimacySum","UMSAffiliationSum","sjsSum","ssesSum","Spite","Vign.Sex","Vign.noSex","Vign.Ovr.Score","Real.Sex","Real.noSex","Real.Ovr.Score","srps.rc.rescale","srps.dm.rescale","srps.sum.rescale","Power","Vign.1","Vign.2","Vign.3","Vign.4","Vign.5","Vign.6","Vign.7","Vign.8","Vign.9","Vign.10","Real.1","Real.2","Real.3","Real.4","Real.5","Real.6","Real.7","Real.8","Real.9","Real.10"
"17",17,21,874,0,1,3,5,55,17,22,16,34,12,22,9,25,48,12,12,24,17,14,31,2.8,2.5,2.72131147540984,"Medium",4,2,1,2,4,2,2,4,1,2,2,4,3,4,2,2,4,2,5,3
"18",18,20,884,0,1,3,3,46,8,22,16,35,11,24,8,27,21,15,11,26,17,13,30,3.46666666666667,2.5,3.21311475409836,"High",4,4,2,2,3,1,2,1,4,3,2,3,5,5,2,2,5,2,2,2
"19",19,23,890,1,1,3,4,29,8,13,8,37,11,26,7,16,21,12,11,23,12,12,24,3.46666666666667,2.5,3.21311475409836,"High",5,3,1,1,1,4,1,1,4,2,2,3,2,2,3,2,3,2,3,2
"20",20,30,875,1,3,5,5,33,2,15,16,42,10,32,3,19,23,9,11,20,10,15,25,3.86666666666667,2.5,3.50819672131148,"High",5,1,1,1,1,5,1,1,3,1,2,2,4,2,4,2,2,2,3,2
"21",21,21,911,1,1,3,4,38,14,14,10,48,12,36,7,16,32,10,12,22,11,13,24,3.73333333333333,2.6875,3.45901639344262,"High",4,1,1,1,1,5,1,1,4,3,1,2,4,2,2,2,3,1,4,3
"22",22,23,999,1,1,2,4,54,18,15,21,49,12,37,7,24,25,12,10,22,17,12,29,3.4,2.5,3.16393442622951,"High",4,2,1,1,1,4,1,1,3,4,4,4,2,2,2,2,5,2,4,2
"23",23,20,963,0,1,3,3,52,21,18,13,25,6,19,3,30,49,11,11,22,10,8,18,2.73333333333333,2.5,2.67213114754098,"Medium",5,3,1,1,1,3,1,3,3,1,2,3,2,1,1,1,3,2,2,1
"24",24,37,953,1,1,3,5,29,9,11,9,34,8,26,6,23,27,13,11,24,18,17,35,2.2,1.375,1.98360655737705,"Low",4,4,1,2,2,5,2,1,2,1,3,4,4,3,4,2,4,3,4,4
"25",25,20,1026,0,1,3,4,44,10,14,20,38,9,29,3,26,32,13,11,24,15,11,26,3.66666666666667,2.5,3.36065573770492,"High",5,1,1,2,1,4,1,1,4,4,2,4,2,3,3,2,4,1,3,2
"26",26,21,1049,0,1,3,3,29,5,11,13,30,9,21,9,30,34,13,13,26,12,12,24,2.86666666666667,2.5,2.77049180327869,"Medium",5,3,1,1,3,5,1,1,3,3,2,2,2,2,2,2,3,3,3,3
"27",27,21,1073,0,1,3,3,57,17,23,17,46,9,37,4,13,36,9,9,18,14,15,29,3.13333333333333,2.3125,2.91803278688525,"High",3,2,1,2,1,2,1,2,3,1,2,2,4,3,4,2,3,3,2,4
"28",28,23,909,0,1,3,4,48,15,16,17,33,8,25,6,34,46,10,14,24,12,12,24,2.73333333333333,2.3125,2.62295081967213,"Medium",2,2,1,1,1,5,2,4,3,3,3,2,3,2,2,1,3,2,4,2
"29",29,22,1110,0,1,8,4,62,21,22,19,36,9,27,9,23,37,12,15,27,12,11,23,2.93333333333333,3.25,3.01639344262295,"High",4,2,1,2,4,4,2,2,4,2,3,2,2,2,2,2,3,3,2,2
"30",30,26,1129,0,2,2,4,37,6,21,10,48,10,38,5,18,28,10,8,18,11,10,21,3.26666666666667,1.9375,2.91803278688525,"High",5,2,1,1,1,4,1,1,1,1,1,2,3,2,2,1,2,1,3,4
"31",31,22,1144,0,1,3,5,45,13,17,15,26,8,18,5,35,42,13,17,30,13,13,26,2.93333333333333,2.125,2.72131147540984,"Medium",2,2,4,4,4,2,1,4,3,4,2,3,2,2,3,4,4,2,2,2
"32",32,29,1134,0,1,3,5,45,11,25,9,34,11,23,4,29,34,10,13,23,13,17,30,3.33333333333333,2.5,3.11475409836066,"High",5,2,1,1,1,4,1,3,4,1,2,2,3,4,3,3,3,4,4,2
"33",33,26,1154,1,1,3,5,56,19,21,16,38,11,27,4,13,28,14,10,24,12,14,26,3.73333333333333,3.25,3.60655737704918,"High",5,4,1,2,1,4,2,2,2,1,1,4,4,2,2,3,3,1,4,2
"34",34,18,1118,0,7,4,3,60,14,26,20,45,12,33,8,31,36,11,16,27,15,16,31,3.13333333333333,2.6875,3.01639344262295,"High",4,1,1,1,3,4,1,3,5,4,2,1,5,4,3,2,5,3,3,3
"35",35,22,1134,1,1,2,3,38,6,23,9,48,11,37,3,30,26,10,13,23,11,12,23,4,2.5,3.60655737704918,"High",5,2,2,1,1,5,1,1,4,1,2,2,2,2,3,2,3,2,3,2
"36",36,24,1169,1,1,3,2,54,17,18,19,31,10,21,9,23,45,7,10,17,14,13,27,3.53333333333333,2.5,3.26229508196721,"High",3,1,1,1,1,5,1,1,2,1,2,2,2,2,3,2,4,2,4,4
"37",37,21,1155,1,1,2,3,38,12,18,8,41,12,29,4,18,31,15,16,31,10,15,25,3.2,2.875,3.11475409836066,"High",5,4,1,1,2,4,1,4,5,4,2,4,3,1,4,3,2,2,3,1
"38",38,23,1176,0,1,3,4,44,10,18,16,37,10,27,7,13,37,13,14,27,13,10,23,3.66666666666667,2.875,3.45901639344262,"High",5,2,1,1,1,5,1,2,5,4,2,4,3,3,2,2,2,1,2,2
"39",39,31,1186,1,1,3,4,34,6,17,11,41,12,29,3,26,21,11,12,23,10,9,19,3.46666666666667,2.5,3.21311475409836,"High",5,1,1,1,1,4,1,1,5,3,2,2,2,2,1,2,2,1,3,2
"40",40,25,1216,0,3,5,4,32,5,18,9,29,9,20,4,29,37,11,11,22,17,16,33,3,2.125,2.77049180327869,"Medium",5,3,1,1,1,4,1,2,3,1,2,3,3,4,3,3,5,2,5,3
"41",41,22,1246,1,1,2,4,59,21,21,17,44,11,33,6,10,43,12,9,21,15,16,31,3.66666666666667,2.875,3.45901639344262,"High",4,1,1,1,2,4,1,1,1,5,2,5,3,2,2,2,2,4,5,4
"42",42,19,1263,1,1,3,3,56,13,19,24,39,10,29,3,12,22,12,11,23,18,12,30,3.4,2.875,3.26229508196721,"High",5,3,1,1,1,4,1,1,4,2,2,4,2,4,2,1,4,2,5,4
"43",43,24,1260,0,1,6,5,54,21,13,20,33,11,22,9,15,28,10,9,19,7,14,21,3.13333333333333,3.0625,3.11475409836066,"High",5,2,1,1,1,5,1,1,1,1,1,1,4,2,3,1,2,2,4,1
"44",44,22,1300,0,1,3,4,47,8,17,22,40,12,28,4,29,22,9,11,20,14,15,29,3.6,2.125,3.21311475409836,"High",5,1,1,1,1,4,1,1,4,1,2,1,4,2,2,3,5,2,4,4
"45",45,26,1260,0,3,5,4,35,4,15,16,44,11,33,5,36,18,9,12,21,8,10,18,2.73333333333333,1.5625,2.42622950819672,"Medium",5,1,1,1,1,5,1,1,4,1,1,1,2,2,2,2,3,2,2,1
"46",46,20,1291,1,1,3,4,58,16,20,22,39,10,29,7,23,29,12,12,24,10,11,21,3.66666666666667,3.0625,3.50819672131148,"High",2,4,1,2,1,5,2,1,4,2,2,2,4,2,2,2,2,1,2,2
"47",47,19,1289,0,1,3,1,34,12,12,10,32,6,26,8,36,50,12,11,23,13,10,23,2.6,2.3125,2.52459016393443,"Medium",2,4,1,2,2,4,2,2,2,2,2,3,2,3,2,2,2,2,2,3
"48",48,38,1310,0,1,3,4,57,19,20,18,30,7,23,6,10,33,19,14,33,14,14,28,3.33333333333333,2.5,3.11475409836066,"High",4,4,2,4,2,4,3,4,2,4,4,3,2,2,4,2,3,2,4,2
"49",49,20,1284,1,1,3,4,61,16,23,22,43,10,33,11,45,35,14,15,29,16,13,29,3.8,2.5,3.45901639344262,"High",1,4,4,2,5,2,3,2,2,4,4,3,3,4,3,2,3,1,4,2
"50",50,18,1348,0,1,3,1,51,20,22,9,35,8,27,8,38,42,17,15,32,7,15,22,2.73333333333333,2.6875,2.72131147540984,"Medium",4,2,1,3,4,5,3,1,4,5,2,1,2,2,2,1,1,5,5,1
"51",51,18,1357,0,1,3,3,50,10,24,16,34,8,26,7,37,39,12,12,24,14,10,24,3.53333333333333,2.3125,3.21311475409836,"High",4,2,1,1,1,5,1,4,1,4,3,2,2,4,2,2,3,2,2,2
"52",52,44,1367,0,1,2,4,49,8,20,21,29,6,23,6,15,29,11,13,24,10,11,21,3.13333333333333,2.3125,2.91803278688525,"High",4,2,1,2,1,5,2,2,4,1,1,2,3,2,2,1,4,1,4,1
"53",53,20,1365,0,1,3,3,49,16,18,15,31,8,23,10,32,42,9,11,20,13,10,23,3,2.5,2.86885245901639,"High",4,1,1,1,2,4,1,1,3,2,2,2,2,2,2,1,3,2,3,4
"54",54,18,1410,1,1,3,3,72,16,27,29,44,10,34,3,21,17,8,8,16,14,14,28,3.53333333333333,2.6875,3.31147540983607,"High",4,1,1,1,1,4,1,1,1,1,1,2,2,4,2,4,5,2,4,2
"55",55,42,1400,0,1,3,3,32,16,10,6,23,7,16,3,20,39,16,13,29,18,18,36,4,4,4,"High",5,2,1,3,1,5,3,1,5,3,3,3,3,3,4,3,5,3,5,4
"56",56,37,1237,0,1,3,3,35,10,17,8,26,8,18,6,39,30,10,10,20,19,16,35,2.33333333333333,1.375,2.08196721311475,"Low",5,1,1,1,1,5,1,1,2,2,4,4,4,3,3,3,4,2,4,4
"57",57,35,1386,1,1,2,3,49,15,21,13,34,10,24,9,24,41,13,12,25,15,13,28,3.13333333333333,3.0625,3.11475409836066,"High",5,2,1,1,1,5,1,1,4,4,2,3,2,2,3,2,4,2,4,4
"58",58,18,1429,0,1,2,3,39,16,9,14,25,6,19,3,10,47,17,15,32,15,15,30,3.13333333333333,2.3125,2.91803278688525,"High",5,4,2,4,3,4,2,1,5,2,2,3,2,2,3,4,4,2,4,4
"59",59,31,1450,0,1,3,5,25,8,7,10,22,5,17,3,38,28,10,12,22,19,18,37,2.93333333333333,1.75,2.62295081967213,"Medium",5,1,1,1,1,4,1,2,4,2,3,4,4,4,4,3,4,3,4,4
"60",60,28,1047,0,1,3,5,36,14,13,9,39,11,28,7,20,42,13,10,23,18,16,34,3.26666666666667,2.5,3.0655737704918,"High",4,3,1,1,1,2,3,2,4,2,1,4,5,4,4,2,5,2,3,4
"61",61,19,1462,0,1,3,3,32,7,17,8,35,11,24,4,15,29,8,10,18,17,11,28,3.33333333333333,3.0625,3.26229508196721,"High",4,1,1,1,1,4,1,1,3,1,4,5,2,1,2,2,3,1,4,4
"62",62,24,1475,0,1,3,3,45,8,25,12,29,9,20,3,33,24,13,13,26,10,13,23,3.53333333333333,2.3125,3.21311475409836,"High",5,2,1,1,1,5,1,1,5,4,1,3,4,2,4,2,3,1,2,1
"63",63,19,1487,1,1,3,3,64,21,18,25,30,7,23,3,15,39,14,12,26,15,14,29,3.66666666666667,3.25,3.55737704918033,"High",5,4,1,1,1,5,1,1,4,3,1,3,4,4,3,2,4,2,3,3
